umap1,umap2
-3.4798486,4.7379003
8.17476,11.791057
6.3365192,9.514552
0.7389367,5.8257494
-1.37716,8.1848755
5.1092305,5.317466
-0.117534444,7.739411
8.054454,11.924221
-5.256068,6.382778
-3.8239725,5.3390527
8.026811,10.865627
14.695064,11.794617
13.268893,11.493484
10.128073,11.700536
5.7244925,8.958476
13.5628195,12.0432
9.038499,11.755052
-2.9978619,17.413822
13.113299,12.315892
8.593306,12.455314
-3.770816,4.55432
6.7055826,5.6803536
7.495669,10.346551
12.968902,11.717929
-0.90660346,10.716815
8.382189,11.50178
13.824423,12.674515
15.377783,10.625549
-1.3486464,8.21648
6.91891,4.9867144
9.177673,12.309865
-2.005496,8.736864
-3.2924461,17.453485
-1.9247912,8.520786
8.432233,11.701809
0.08298352,7.5815697
-2.573885,9.124683
-1.5736953,5.710086
12.503242,11.715262
13.235576,11.6199
-3.9866066,6.035064
-4.3390174,5.0173945
-2.7763708,18.561325
-5.473674,5.550981
9.058139,12.2844095
0.07968031,8.335225
12.291234,-2.0699751
8.821677,11.1535845
-5.577545,5.9893456
2.586179,5.8226843
-2.334253,17.870518
-2.460419,18.060251
12.423984,-2.9759655
7.916497,11.589324
8.206324,11.184387
-2.407544,8.66051
-2.5144415,8.639309
7.6599274,-2.4733992
0.64637333,5.7877274
9.218689,11.16341
7.8814807,11.4627075
13.81941,12.625139
-0.329389,8.959339
9.280554,10.535698
-4.178706,5.162394
10.773891,11.842381
-2.4376411,5.6483884
-3.0061429,17.371798
-1.7605754,9.610062
0.054789707,7.5877156
14.665621,11.695695
-3.1584187,17.650187
-1.6975074,5.5276346
8.177152,10.730292
-0.24270001,7.487187
13.743874,-2.7764268
12.9478245,11.945046
7.5605545,4.8831573
-4.660121,5.285552
-2.5287683,9.794258
5.3444676,8.580674
8.210923,11.074102
7.234702,10.185175
7.285289,4.9214635
-6.971786,5.854663
13.651649,12.764305
2.276584,5.721557
-5.0557203,5.6234093
4.467055,6.1594806
-4.8425364,5.3080573
-2.1195474,9.671052
8.209523,12.000731
3.161537,6.0354204
-1.439322,10.699137
-7.11426,5.8091726
-3.504134,5.2655025
14.640939,11.780432
11.498177,12.155692
-5.3255205,5.5466943
6.7514863,5.08004
13.87069,11.031373
0.084328555,6.145014
