tsne1,tsne2
46.4209354726201,3.5002221030482885
-18.58728803543102,-3.991836742227106
-7.918514832510434,12.206478794756496
22.244070048547105,8.176494554988935
20.903094729908986,-23.191021956518668
-4.855995611407684,25.89006955676765
16.669877134159112,-13.029028411819722
-14.40169006396026,-4.597585044591969
47.970958265089045,-21.411723596461837
42.765730525708626,-6.180966285243188
-19.066812636090965,3.17298660413603
-63.88924997121692,-13.221564975965366
-51.89787004856862,-10.59914706116412
-32.872623486471255,-3.625884771750041
-3.4998458479033943,11.683353723542162
-53.57745498193378,-15.041965301053462
-24.097546615215776,-5.079891879491231
35.189675870631405,33.01840594844555
-50.60705378450626,-20.289285944901344
-19.589182667639818,-11.143394589820169
49.55696858132147,3.1346638068370978
-16.705800194309948,26.095394363827666
-16.67005189468405,8.955341624725941
-46.61536066351914,-20.640425801783675
-2.6319448520073143,-29.262324835994512
-19.791323762430547,-1.9974721209031783
-56.726462134910314,-24.635123681284114
-65.05137994593052,1.188896554874987
19.878825170589113,-22.665086583715492
-16.679923568838092,30.987255225775503
-20.784122616717422,-12.097678137349329
17.738444987887256,-31.732410050397117
33.35097084537881,35.09959432297186
22.279499164253647,-28.718797516329328
-20.369945258068224,-3.3418442582645222
13.632484252335935,-7.404479677887584
17.52687583549683,-38.861392865224005
29.26978903709793,0.20981590997187768
-43.39287700074016,-15.52899004920302
-47.827200798139316,-18.754570590890836
40.42742831433025,-11.86418546415725
52.969873682225206,-6.068238835724649
43.33088918272417,39.73064286621299
57.04394310708095,-16.97139112033983
-22.480503231854513,-9.469225679891819
9.743927061594182,-13.825168781802338
-14.847397038679802,53.49957306995172
-24.81121711541333,-0.28738135813585186
51.45271162845341,-21.854089455662173
18.152289213811734,11.122532621825846
43.887194092620256,32.09149913187656
45.59287813417066,34.83106786869996
-7.799459106960583,52.147196382926886
-14.22254465990419,-2.86082901931848
-18.673635363333513,1.3783170087384495
23.23899925432624,-34.567873503546565
21.425531896686586,-36.23693248902246
1.8750516895512737,41.5679008657425
22.757001805953593,7.783473927170193
-27.890675688974472,0.5546526522096145
-16.48288429365415,-1.6165390664865464
-60.43016142799033,-21.235304758334767
9.011026309681602,-19.234601781943645
-30.614941386987574,3.6847172533006907
50.38932948507022,-0.8479938984264471
-38.52092584505963,-10.05023392601063
33.50771672075241,-2.2976989252040285
36.06425532755499,31.392573631253235
7.934990948773226,-29.919124067188978
12.434176886742577,-12.158880235809322
-63.41265680639889,-10.808359432494724
36.817853299398415,34.54391819237743
29.931713061388624,3.9856513470527073
-20.80313059435257,4.978810909786185
18.17726039730868,-11.466164813936174
-5.03114321638257,61.78606362394265
-46.60060307894466,-16.042360991341877
-21.281397540863484,32.42786020154336
51.543473900576714,-9.649301668837442
11.310588917616313,-40.21080368865727
1.1359675010210744,10.073316803192727
-22.291732775952052,0.2863064709560249
-14.63200400118308,10.393164429690172
-18.377973617942832,33.724916105864835
55.828012127538535,-24.557594959614025
-67.74123685760391,-16.516969910002732
21.156087065810784,11.941087194726077
51.9175453661205,-14.399037983321028
9.02855271235343,15.822144811093317
53.694859067899465,-11.300903353547993
8.54872250377538,-36.544390951475215
-15.832656332950625,-5.074067937567493
22.109333948633672,17.3079131452882
-0.45630386842170195,-33.52031177216511
56.563884936937065,-26.322340937683254
43.32089023882395,-4.577706924704117
-64.64040381267411,-10.122374169112966
-38.98938505820239,-10.825856305448903
54.990154168472614,-15.08277726787834
-14.998215712966926,31.469275437160626
-53.97625734443294,-7.743001108653615
22.638226257422478,4.185928499315859
20.854082223612853,-10.107909321366115
37.54652732903841,33.30868448166109
37.793626477470376,-3.091579850150466
15.18523783054906,39.735696477590395
-60.919184041620944,-2.9185487758957867
-19.275571389434333,6.449298014481376
58.89648285424356,-11.853787787776144
20.941048650765755,-34.784500255743325
-51.950747476956366,-11.207973032026263
19.05785667488552,-33.008656567929805
-25.532319175612653,5.110265243937735
-16.40983032164273,-37.599477060624785
34.273730218995595,-2.8912881939822963
-58.06473822181463,-6.948096306774523
-62.43399372091475,-19.080514703374853
-56.53862282156724,-11.518262675287767
-58.84681448265124,-12.828615511755933
-64.09445009405724,2.8528984228887104
14.89925835261486,-21.837469545321046
41.620631299672006,39.59017251056677
46.918897879082486,-13.692747556614217
-36.306279337633235,-5.886771471971144
-49.43581126207158,-20.17785251264669
17.925898549408572,-26.319600605092397
-23.09940954698056,-8.085735239540353
-20.542265718430748,31.05065915904038
13.690394422519944,-15.501507280371023
-26.310815155158032,-0.32700945426324446
48.661704160852,-2.049080234563162
12.462379173989703,19.321761580942354
-14.340341424564787,-4.2950487261152075
-5.701773070113484,58.1808743973207
-4.261389854081119,64.7222430475836
-0.2745801436575254,8.807312773393301
47.296237083900614,-15.482660024313635
-7.461800479437391,52.071274198403195
19.462841595392543,10.833605643864162
-53.62048236597731,-11.01253512653805
1.8474515844779151,39.18287648055159
10.826484505549377,18.327851812407964
16.197133674551633,-7.702365776093754
2.3932391339169246,39.913802392329096
33.71637134440762,34.82378409063532
-51.095576533424726,-4.145371155891672
-31.50110700405811,-9.672574953412527
20.14544626792818,-17.816848071246536
-11.497142521554492,13.972419611943916
-68.13046737987656,-9.87274328089932
16.757561972172386,21.428492697075487
13.096430183838645,19.8122631465424
54.8129717490682,-24.072470544254543
28.7976050794653,1.6542282635666117
38.86017563459679,-11.328734548598488
-21.117967944029527,30.87945491256108
45.35204513657086,-17.55517315624852
-2.276761534597905,9.321204863464779
10.218911024103708,-39.707068435676355
-54.417740648886515,-18.472402435535226
22.680969646721408,-21.854276811829564
-24.336356784053642,-8.741278399034941
44.798129075590246,0.8209409372917198
12.71548260937177,-23.359224584945057
-18.393891188639316,-34.41190488863294
-32.69584680356485,-2.715076663204202
20.17007052047076,-30.84451033613955
23.39771298957719,15.593704129572403
-30.919208789400617,-9.64897347426682
19.897064011888748,-12.620794878675293
-53.87795992958287,-11.202389592731373
10.922950710666708,-34.132127631409375
7.4631317856736805,-10.594014853699393
16.648793194298467,-25.909083140756174
33.14708308581617,35.466094191930324
31.686108912001846,-1.137617854599664
2.7078982369857183,8.867069117787688
35.18487709814927,37.19034414063397
6.283667114531565,-28.96746906984579
-17.91594851756478,1.6308913884155753
22.678982620675054,9.7872463953873
5.571962507968524,8.428646305717276
-38.426622946590264,-5.72049139341188
-16.70498748110973,-0.20266688029817523
-26.041358173607986,-9.89455137145217
13.570351389868566,41.804776084334826
-27.2341696224932,-13.16227691636407
9.75207583891971,-38.05555130000306
17.005013250058095,-26.75035703548433
-59.20003834541715,-16.50341837865987
28.542152122863932,1.9067847930570447
-52.88777392304537,-16.330209224920214
-19.052347671060346,3.616116116917976
-57.190541271821694,-13.36498613076211
11.149888789857052,-13.431100774858795
38.82839903630005,-11.484786522132323
-67.19810138002101,-14.462433821974058
22.984524407424875,-33.99683335635363
58.485694476931386,-13.29923311214583
-34.708983158047374,-5.917468119344038
0.8750115184716124,43.04207598202452
-4.618342542322382,-36.88262949175767
