pc1,pc2
-2.8818929100489434,2.8877638301528137
2.1404843909365754,-1.0755974144172624
0.6139456900369172,-3.4923494451201256
-2.8154417341031825,0.42318906792658506
-3.2536248183472676,0.8822336833439905
1.583169103638527,-1.4445024523648695
-3.0312342391200824,0.4291118295621157
2.8100936700568564,-2.438350967174801
-1.194078423745599,-1.5645208946621114
-3.787774634453914,2.0089293241295927
1.3097973546692394,-1.3982911563628506
6.015994543137876,1.5445692486044544
5.431896319760279,0.6295004011750107
4.1159211863802305,-0.22675631767503956
0.3112375509781694,-3.8466075409163833
5.895357919685857,1.2232338431772138
2.630248740776858,0.08520503797160428
-1.62736727124656,1.1534363928681062
5.747764538857914,1.3577786628598618
3.1159774330769574,-0.655168339950376
-4.521244808900463,2.5478547278308215
1.0959426867901323,-1.2977497158637146
1.6368712596064867,-2.7948455868843007
4.890187599936593,0.998239187563362
0.0924804362231757,-0.35374559402576145
2.110965318972208,-1.620452969611029
5.880568916548284,2.7911490830188335
4.923000659363714,0.6392398953180871
-2.9178361278258036,0.9263940592278681
2.0892986477266806,-1.7238142728348924
3.393878300262007,-0.528200162679294
-3.9099073264428412,1.4167861833020226
-1.4587498894958186,0.28461795817410085
-3.036293971634909,1.1066965524010355
2.0385087368207504,-0.8903897540108945
-2.5808944014245627,-0.638645676776882
-4.50015064373641,2.9005798822752507
-2.9138262291178894,1.3658548668015298
5.624670822109907,0.08277104991509265
5.222566376075556,1.063765517033957
-2.9314816369210233,0.9046042686659685
-2.763815245623042,2.7208911702782013
-2.7900876334576834,2.521393407404349
-3.692722640257503,0.19730463605750792
3.1198297126860295,-0.44707716269308273
-2.6739442083599325,-0.3684030248871988
-1.5844058233331426,-4.715361430038312
2.6414121383545033,-1.1982254803053527
-2.7912542410423793,-0.47960527581240164
-1.0149082748120304,-1.362610115895324
-3.683224148379966,3.5739352867759546
-2.391579906151903,2.140166368126626
-1.6164842904576642,-4.354211816809301
2.847483156857895,-2.2632119405406854
2.286556856531824,-0.631220779602061
-2.697845495287001,1.8952138410979273
-3.997361058464598,1.8409491603202115
-0.5078047961020993,-3.115639472845254
-3.2156752564947055,-0.2495829141423931
2.866444733886213,-0.7762258441366492
1.8462465217763009,-1.7814944530676708
5.972894494775538,2.0280923322691553
-1.8710949255375107,-0.2386579448162376
3.207007216468474,-1.1451588402364798
-3.158559538076749,1.4791875005323307
4.68004473633507,0.8620026363780235
-4.596236553833859,1.5657929235768115
-0.8637331271747284,1.4757757560669615
-2.6721670051024917,0.9319170302552973
-1.7036265100102892,-0.506755841958078
7.073462802619688,1.5387129871687844
-2.48854997637439,1.6121150450087383
-3.611851819625177,0.477598710890887
2.102334272598521,-2.068485095417425
-3.2234743792041973,-0.06833205559614397
-0.627465310651099,-5.408244318918518
4.721422643512601,-0.02066493514666634
2.503117033745783,-1.6501399283013538
-4.426729358255727,1.2866934238094476
-3.943604245524728,1.930779069047028
-0.7429556781862134,-2.535120989998837
1.6325238207599506,-0.782859358833083
1.4639238337157663,-3.0275619393463034
1.44484509979949,-2.4558920996805385
-2.6626785019741943,0.6925547041715587
6.3528943539583045,2.6667675187321196
-2.1303139289948803,-0.8369703270829305
-3.6140046035260243,0.8196194736663527
-0.18784752081668787,-2.0604410904407704
-3.6703120109098615,0.7119573815742894
-3.363395352059552,1.3340982701467503
3.4594520079030096,-1.450976045648042
-1.3504503660183242,-1.024528927841323
-0.028274748983124764,1.1466253175230428
-3.0861079921351546,-0.2367675267304441
-4.572952563332704,1.8922090627050752
6.865817258820658,2.173323606934807
5.316921910958165,2.357680732308583
-3.4864558262250727,1.0982886536168657
0.2758756485371354,-1.9671503570591418
6.025937533296678,0.5727020652406392
-2.755934680728638,-0.13350645255496163
-3.194045698177879,1.7341665784800586
-2.941201552352789,1.5294653575359112
-4.089507948591887,1.7515962388750808
-1.0392935040069264,-0.07978608138347543
5.6134627188623325,1.6702118191386308
1.3035981426687486,-1.7109721105542564
-3.9132339186672054,1.9774923131541344
-3.6500705603413968,1.5979295200429702
5.364593938443407,0.7952505095963076
-3.8612105651211666,1.642407633824483
2.4146548609132568,-1.7490769205307957
-0.004139859971675541,-0.4302047170483756
-3.5397829222057613,0.4417688189678781
5.3152783723780885,0.6880051339973594
6.015140637056036,2.222145782352733
5.947345740684958,1.5976583387035364
6.917237162111725,1.2892546411920964
4.9142367565052005,0.9996909645359935
-3.1366951385242743,0.2929924279065421
-3.3847723714490794,1.128486258969441
-4.0986976595096625,0.8462181823782196
4.493181354385644,0.8016848640033798
5.602602422758675,0.8038544973414563
-2.352021983048349,1.4679262318896598
2.7344264429907934,-0.5590039448633828
2.239002810092966,-2.0147918396373004
-2.6433876456826226,-0.21406646042742494
2.371835706764254,-0.5933010317732657
-3.945608427844612,2.482298447965082
0.4932734082669782,-2.373715583502727
2.6911742657868487,-2.25095983107129
-2.060851039390391,-4.1941840602595715
-0.04597046677042682,-6.188383613199612
0.6483409157426925,-2.519354102792305
-3.5254987524575254,0.8088804453948697
-1.3364436750732567,-3.7901976982623258
-1.7691784576258056,-1.6730274146909885
5.574061774703181,1.009859919335332
0.6947531701784929,-3.612041503624645
-0.5176718856047313,-2.9717495522841704
-1.9505989696468025,0.07797856450885465
1.0225475256079843,-3.8663218229780556
-2.000659814876795,0.17076370123680018
4.8782215076709905,0.46802834067080124
4.132761413739241,0.34272572255902567
-3.525858243063924,0.7369282697794857
0.45372472696545096,-4.213309355046031
6.001457114976705,2.628416891927073
3.7222316648316696,1.6010704932061186
-0.03720386390959041,-2.5272103012519587
-2.9354827899306155,0.25551227072468574
-2.521549633563059,1.272908720751066
-3.360798536532256,1.8507276973667794
2.2143626661704467,-0.8020045972004319
-3.5326843401354484,0.1461531761882262
-0.4781652704453534,-2.624862728156063
-3.4725242298924037,1.6793170258237433
5.959776717525587,2.617564219277848
-3.6905973320566083,1.5140399032170446
2.8093684137213453,0.0885059727580475
-3.5331606329638596,2.324290963763131
-3.5502722035678014,0.19534651214676657
0.9087791859840949,-3.1728271291720773
3.852497331517376,-0.03518330483631393
-3.4422481444897643,0.5589233101694715
-0.17006091663044232,2.1443003934906013
4.027732179179984,0.2555811981132745
-3.9238316141307763,0.1802994477717692
5.025214019002498,1.3660557669150188
-3.598488155997294,1.2054982316961365
-1.5963924394384212,-0.5726903999558663
-2.961514789661339,0.17514734283344557
-1.0423002639630383,0.1718583217373033
-3.7495186089786596,1.3805549794742582
-0.3529981062827807,-3.2646578073293324
-2.4728681310199008,1.1339308009451186
-2.6961161552363455,-0.16084736010665734
2.0543056427898687,-1.6531769320047447
-3.7972380186812753,0.2454691743605224
-1.2950256664361819,-3.52028426769405
4.788030074388926,1.6413819861708125
1.2707281825202092,-1.5716594136597744
2.8577756682900834,0.2363751136705936
-1.8023399837533052,0.2328423482633175
4.367915070163195,1.110050080594175
-3.511246389447156,1.1954766851910978
-3.3009727831468245,0.7097821389039396
5.4157239396056855,2.4890366979018896
-2.670086942506682,0.6840672014861982
5.7468939714366245,1.5272200084887864
1.5501580465200724,-1.4364951883161474
6.097364390123775,2.067420366056478
-1.7982814318779237,-1.2733872798554637
-3.159881680500617,1.1580649934154925
6.633106938605836,3.1891757840663066
-3.7002045263575782,0.9351496187126358
-3.160473404066196,1.271389814754242
3.6718453278484384,1.2143681407448854
-1.4249368334050299,-1.867229935270696
1.7515631493599897,4.282902546184069
-0.3240610594507749,-5.305630982678893
-3.0573621562636486,0.0036285068284476196
0.8775262473533343,-2.4841212266007044
0.909780941663163,-1.5325878700103805
0.9046696250810622,-5.819434903935729
-0.46271622122886136,-3.8589514192603898
-2.118959394044836,-1.363734603050713
-3.9434568758626085,0.9909909275106044
4.703829287642971,0.2704986273649821
6.439332932709926,2.265886835755073
2.6654706910108787,-1.4168350385869273
-2.770177451491909,0.44259199922976666
-5.002855844070986,1.8491230883504137
-0.011284706234371056,2.608312428346646
-2.4109263724209935,-0.5814467334589519
-4.355234647032402,2.158571652848022
-2.896952998283278,0.2630857083593172
-3.3409242259151766,1.8644292900042965
-2.068807014805791,0.5448994395169926
-3.7573842947185963,1.8830468809534162
-1.2158974709163306,-0.4700228003300948
1.0112852472710698,1.6687472685448412
