dm1,dm2
-0.08935573956773635,-0.03599993075265082
-0.0889560442128618,-0.03626938745876753
-0.08880000462500033,-0.035975349532320164
-0.08928826747834187,-0.03515154370944637
-0.08932644399127332,-0.03597307807127447
-0.08747931952821728,-0.035290009913698614
-0.08931498135188935,-0.035930621932113084
-0.08896275068637126,-0.03626895218814567
-0.08915060091699521,-0.03600513615433758
-0.08937272678613682,-0.03603031415814174
-0.08892580254555468,-0.03621822734766037
-0.08904634315050373,-0.0366215303069489
-0.08904978753167123,-0.036609187229648496
-0.08900494116816962,-0.036386366092478396
-0.08877270936197161,-0.03585977398769091
-0.08905043799081946,-0.0366091231385128
-0.08898425978222191,-0.036323118600331376
-0.08945410054394966,-0.03594860663122223
-0.0890517036888098,-0.03660642661553129
-0.08898888958641962,-0.03631732405649482
-0.089374142613674,-0.036024818095885154
-0.08889287119375355,-0.03584360486270819
-0.08890939305588255,-0.03615142217318278
-0.08905195740438958,-0.036601517790258185
-0.08902632303895797,-0.036034811612871885
-0.08896131104848938,-0.036271578413454235
-0.08905264195955248,-0.03661507799690263
-0.08899484803025175,-0.0366279103754034
-0.08932523233221153,-0.035973049090814675
-0.08885797954043645,-0.03587785456324025
-0.08899254748422117,-0.03633220150191053
-0.08933162986803969,-0.03599154768691738
-0.08942595540584372,-0.035942900055703664
-0.0893278982721592,-0.03598458826812449
-0.08896716243313896,-0.036255266786232726
-0.08930881312753171,-0.03586891982310017
-0.08933313161284784,-0.03599883111652154
-0.08934989328745972,-0.0358558741109234
-0.08903905133863858,-0.0365428266874636
-0.08904907338811437,-0.03660499149010914
-0.08935982467165395,-0.036026593508966975
-0.08936319246447125,-0.03603920841367608
-0.08946958370952551,-0.03597683982230646
-0.08936607588280121,-0.03604724255454214
-0.08898648862856616,-0.03632462885928479
-0.08928461965808503,-0.03590710310503344
-0.07479853057689397,-0.0374609664269319
-0.08896830904894952,-0.036284240286021785
-0.0893438386837763,-0.036049934061705036
-0.08914873168803034,-0.0342984319266117
-0.08946535185614907,-0.0359648067575842
-0.08946515171389577,-0.0359703473583432
-0.07143853330253831,-0.0373682951102482
-0.08894669606076692,-0.036244414176795255
-0.08895739011565819,-0.03626584814098856
-0.0893336641675653,-0.035998129838388904
-0.0893321900995811,-0.03599464611457621
-0.08365213064167218,-0.03643763564590536
-0.08928262121789192,-0.035044886191605694
-0.08897489596245217,-0.03629920905568608
-0.08893522593109993,-0.03623237860925745
-0.08905403822228589,-0.03661498101587008
-0.08928336736282443,-0.035951548418185805
-0.08897866497690496,-0.036303812214173316
-0.08936275326448875,-0.03603106626330234
-0.089027152511835,-0.03648944128554952
-0.08935969221808976,-0.035959898388673
-0.0894596128324068,-0.03595539681874904
-0.08932725050608363,-0.03599573408286276
-0.0892934610958484,-0.035916045795345006
-0.0890452952114876,-0.03662162364253737
-0.0894531434127707,-0.035958696980499985
-0.08934701617361913,-0.03576067512436216
-0.08893920790704549,-0.03622974271929422
-0.08931558592340359,-0.03592838748188907
-0.06596934650858909,-0.03758699933465583
-0.08904884173966153,-0.036584936330155096
-0.08890285731062113,-0.035914211690511885
-0.08937198486646357,-0.03603847449304229
-0.08933422428195403,-0.03600404629962953
-0.08879356858929364,-0.035793721579612255
-0.0889452407445337,-0.03623664218990686
-0.0888935043450396,-0.03610859096829054
-0.08889347503046453,-0.03590716563331715
-0.08932165195834665,-0.03607642136524108
-0.08904867160158396,-0.036596661401907225
-0.08923469735614636,-0.034266269767411935
-0.08936581112209405,-0.03604250113326503
-0.08901685652185376,-0.03492431498817715
-0.0893661583421646,-0.03603859135821513
-0.08933184237522664,-0.03600146595888362
-0.08896607050382588,-0.03628181256995798
-0.08914783993995569,-0.03363811363038781
-0.08921045517785027,-0.03603660896831996
-0.08931250140232289,-0.03608087705798054
-0.08937267769684835,-0.036023240102799996
-0.08904889572760946,-0.036621411510837726
-0.08903650476320464,-0.036517181791064716
-0.08936276909238398,-0.036039076864649605
-0.08881364799647355,-0.035873229206692836
-0.08904634835290809,-0.03660926866934794
-0.0893055630038437,-0.035547411365171054
-0.08931654772884792,-0.03591964180423351
-0.08946372973614013,-0.035966729469461285
-0.08936628687467206,-0.03596921096566179
-0.08834253346845762,-0.035976482022459795
-0.08904355517531928,-0.03661704591309156
-0.08894131517509869,-0.03621586608493722
-0.08937189741122026,-0.03604451936958692
-0.08933229040464635,-0.03599485666287655
-0.0890477794485369,-0.03660720917224217
-0.08933423750782804,-0.03599545565214067
-0.0889564752685319,-0.03625415635284877
-0.08915227799866972,-0.0362297809352095
-0.0893602971704113,-0.03593450672155781
-0.0890463939286803,-0.03661029546524357
-0.08905250611639275,-0.03661683293458516
-0.08904845097541991,-0.036612810651934856
-0.08904949824495963,-0.036616220803157754
-0.08890616270522944,-0.0366106276881722
-0.08931999349705587,-0.03596548299268844
-0.08946837972264118,-0.035976066956959235
-0.08936902051439959,-0.03603613734487982
-0.08901701662619563,-0.03642831314846017
-0.08905258843987966,-0.0366045985555274
-0.08932562412972919,-0.035984148492154686
-0.08896600713431715,-0.03629945137761404
-0.08889849547637009,-0.03590459217370966
-0.08930784843168145,-0.03594216961074598
-0.08897452457639547,-0.03629560590415975
-0.08937379132360888,-0.03603358223410983
-0.08904472819231346,-0.03159424118904908
-0.08894108169079715,-0.036225133621255644
-0.06924776311765653,-0.03746743994045639
-0.06559217883029136,-0.03761743313700845
-0.08878744647589615,-0.035807625752760724
-0.08936521009059074,-0.03603686629874201
-0.07170490956387095,-0.03735365140151263
-0.08920796217465485,-0.03438767528678924
-0.08904963050286732,-0.03660818200006828
-0.08492682495571251,-0.03658202154962243
-0.08898820461169069,-0.034003779504850604
-0.08930676679297134,-0.03586499104267772
-0.0838067998342928,-0.03642218291784656
-0.08944090127806786,-0.03591292064028403
-0.08903657102289086,-0.036563330484123295
-0.0890134540727627,-0.0364288377550267
-0.08932313859443461,-0.0359537931940833
-0.08877464440044258,-0.03609018408016271
-0.0890335825164954,-0.036624639762056134
-0.13971953708652018,243.92806183852394
-0.08904931476106606,-0.03108553136851528
-0.08932504792676656,-0.036069736624627376
-0.08934846395238309,-0.035815852191621034
-0.08936840482390945,-0.03602672862564238
-0.08890144593826604,-0.03591160052681723
-0.08935673420930443,-0.03603018258624534
-0.08877946397155796,-0.035845840077454234
-0.08933290556415203,-0.036002521588993815
-0.08905281940046339,-0.03661054500044347
-0.0893286572542203,-0.03597547952189251
-0.08898654180594957,-0.03632643974998985
-0.08936561090871553,-0.036016151692434044
-0.08932342701852011,-0.035976777839182565
-0.08897013715247615,-0.03612456171160688
-0.08900202931811155,-0.03637900745447032
-0.08932771074083183,-0.035986627757006076
-0.08929007501768381,-0.034504850131137715
-0.08900533003502206,-0.03639494458154836
-0.08932171778297324,-0.035927478462377434
-0.089049865754272,-0.036609271712832264
-0.08932964312259736,-0.035994845515648854
-0.089240022708745,-0.03584878837918436
-0.0893221537805162,-0.035978313030585296
-0.08941037463827733,-0.03588542449505229
-0.0893572504224708,-0.03593036917612582
-0.0888044708235523,-0.03568342262961718
-0.08945168005807798,-0.03596265850452053
-0.08930963282922959,-0.03597370542532463
-0.08893680728521,-0.03623429847183092
-0.08925942392439008,-0.034643992939642675
-0.08882657077111603,-0.03547932165095001
-0.08902761138671667,-0.03647079674689193
-0.08888561529250089,-0.03621450901864644
-0.08899244951091012,-0.03634349624767081
-0.0882315871189719,-0.036012773289113675
-0.08900988011551106,-0.03640237599973948
-0.08933074361259463,-0.035998581244076205
-0.08932642571647839,-0.03598390939770883
-0.08905161328366369,-0.03661424963585121
-0.08934051665932832,-0.03573629083343146
-0.08904882645669622,-0.03660435589242602
-0.0889311096493233,-0.03622497746774294
-0.08904620982648215,-0.03661519412149111
-0.08929096351183205,-0.0359267249678342
-0.08936447177188611,-0.036020676258488864
-0.0890405595222468,-0.036621365974371156
-0.08933460608706828,-0.03599989721956025
-0.08937106140041677,-0.03604697292544665
-0.0890165718321522,-0.03642528507454364
-0.08387070423375836,-0.03642299870138515
-0.08932126870806652,-0.03615046971353654
-0.07649797834730711,-0.037761095526376305
-0.08930535095781525,-0.03560118163894531
-0.08879117141946834,-0.03585391185912484
-0.08895617184769876,-0.03624397594460942
-0.07650163739762146,-0.03776255517839924
-0.07741153183502175,-0.03755912926030315
-0.08923311163619019,-0.0359062915384374
-0.08935800608559644,-0.035902005477170436
-0.0890155868004531,-0.03642479246596155
-0.08905038453449501,-0.036613119192633325
-0.08897438042367048,-0.03627900861312458
